age_min,age_max,landmark,max_fu_days,n,events,n_vax,events_vax,n_unvax,events_unvax,HR,CI_lower,CI_upper,p_value
28,52,180,650,740,14,187,1,553,13,0.22413091108092506,0.029318810332658936,1.7133937131824182,0.14955225347407958
28,52,180,700,740,15,187,1,553,14,0.20775329570684123,0.027317965793512415,1.5799650751193337,0.1289866671536758
28,52,180,730,740,15,187,1,553,14,0.20775329570684128,0.027317965793512415,1.579965075119334,0.12898666715367585
28,52,180,750,740,15,187,1,553,14,0.20775329570684128,0.027317965793512415,1.579965075119334,0.12898666715367585
28,52,180,800,740,15,187,1,553,14,0.20775329570684134,0.027317965793512415,1.5799650751193344,0.12898666715367593
28,52,180,850,740,16,187,2,553,14,0.4154134950054971,0.09440903629351656,1.8278798154042075,0.2451917044185251
28,52,180,900,740,18,187,2,553,16,0.363694153191161,0.08362135750151964,1.58181403671941,0.1774731282346057
28,52,180,730,740,15,187,1,553,14,0.20775329570684128,0.027317965793512415,1.579965075119334,0.12898666715367585
28,52,180,760,740,15,187,1,553,14,0.20775329570684128,0.027317965793512415,1.579965075119334,0.12898666715367585
28,52,180,790,740,15,187,1,553,14,0.20775329570684134,0.027317965793512415,1.5799650751193344,0.12898666715367593
28,52,180,820,740,16,187,2,553,14,0.4154134950054971,0.09440903629351656,1.8278798154042075,0.2451917044185251
28,52,180,1095,740,20,187,4,553,16,0.7304752560113963,0.2442011529134325,2.18505970704434,0.5742576044930363
28,52,180,1460,740,26,187,4,553,22,0.5373688451736599,0.18516771107474622,1.5594796419269208,0.2532256630689601
28,52,180,1825,740,30,187,5,553,25,0.5956670966990575,0.22801529998149078,1.5561205327830496,0.2903124167680253
29,51,0,All,708,51,175,8,533,43,0.5665918287135859,0.2663685537758612,1.2051959430433996,0.14012738524072774
29,51,0,365,708,24,175,3,533,21,0.42901448278733045,0.12796351958103228,1.4383273220672061,0.17034465551410727
29,51,0,400,708,24,175,3,533,21,0.42901448278733045,0.12796351958103233,1.4383273220672057,0.17034465551410727
29,51,0,450,708,24,175,3,533,21,0.42901448278733045,0.12796351958103228,1.4383273220672061,0.17034465551410727
